Record,ReferenceBeats,DetectedPeaks,TP,FP,FN,Sensitivity,Precision,F1
100,2273,2272,2272,0,1,0.9996,1.0000,0.9998
101,1863,1862,1862,0,1,0.9995,1.0000,0.9997
